Season,Rank,Player,Age,Weight,Height,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Nationality,Position
2010/2011,1,Lionel Messi,23,72,170,2859,31,18,3,0,4.5,86.2,0.1,20,8.76,Argentina,Forward
2010/2011,2,Marc Bartra,19,70,184,180,1,0,0,0,1,83.8,1,0,7.77,Spain,Defender
2010/2011,3,Andres Iniesta,26,68,171,2799,8,3,1,0,1.3,89.6,0.1,2,7.72,Spain,Midfielder
2010/2011,4,Dani Alves,27,70,172,2904,2,15,10,0,1,86.6,0.6,3,7.66,Brazil,Defender
2010/2011,5,Xavi,30,68,170,2467,3,7,6,0,1.1,94.4,0,2,7.58,Spain,Midfielder
2010/2011,6,Sergio Busquets,22,76,189,2298,1,3,5,0,0.3,92.4,1,0,7.38,Spain,Midfielder
2010/2011,7,David Villa,28,69,175,2770,18,5,3,1,3.9,78.9,0.1,1,7.34,Spain,Forward
2010/2011,8,Pedro,23,65,169,2152,13,7,2,0,1.8,89.7,0.1,1,7.32,Spain,Forward
2010/2011,9,Carles Puyol,32,80,178,1386,1,0,3,0,0.3,90.6,1.4,0,7.19,Spain,Defender
2010/2011,10,Thiago Alcantara,19,70,174,662,2,0,1,0,0.7,93.1,0.3,0,7.16,Spain,Midfielder
2010/2011,11,Eric Abidal,31,75,186,2024,0,0,3,0,0.3,90.7,0.7,0,7.11,France,Defender
2010/2011,12,Sergi Roberto,18,68,178,90,0,1,0,0,2,85.2,0,0,7.05,Spain,Midfielder
2010/2011,13,Gerard Pique,23,85,194,2652,3,1,9,1,0.6,88.4,1.1,0,7.04,Spain,Defender
2010/2011,14,Andreu Fontas,20,91,188,460,0,1,0,0,0,92.6,0.3,0,7.01,Spain,Defender
2010/2011,15,Adriano,25,75,172,951,0,1,3,0,0.5,88.6,0.3,1,6.98,Brazil,Defender
2010/2011,16,Javier Mascherano,26,73,174,1538,0,0,6,0,0.3,91.8,0.7,1,6.96,Argentina,Midfielder
2010/2011,17,Maxwell,29,73,176,1818,0,1,2,0,0.2,88,0.8,0,6.91,Brazil,Defender
2010/2011,18,Victor Valdes,28,78,183,2880,0,0,6,0,0,82,0,1,6.91,Spain,Goalkeeper
2010/2011,19,Gabriel Milito,30,78,179,656,0,0,2,0,0,90,0.8,0,6.69,Argentina,Defender
2010/2011,20,Pinto,34,82,185,630,0,0,1,0,0,82.4,0,0,6.65,Spain,Goalkeeper
2010/2011,21,Seydou Keita,30,75,183,1531,3,2,2,0,0.4,91.8,0.9,1,6.63,Mali,Midfielder
2010/2011,22,Bojan,20,65,170,933,6,2,2,0,1.1,84.5,0.1,1,6.62,Spain,Forward
2010/2011,23,Jeffren Suarez,22,73,176,302,1,1,0,0,1.5,83.2,0.3,0,6.6,Venezuela,Forward
2010/2011,24,Jonathan dos Santos,20,74,172,87,0,0,0,0,0,91.3,0,0,6.54,Mexico,Midfielder
2010/2011,25,Ibrahim Afellay,24,76,180,664,1,0,1,0,1,91.7,0.1,0,6.47,Netherlands,Forward
2010/2011,26,Martin Montoya,19,73,175,20,0,0,0,0,0,100,0.5,0,6.31,Spain,Defender
2010/2011,27,Oriol Romeu,19,83,183,8,0,0,0,0,0,100,0,0,6.23,Spain,Midfielder
2010/2011,28,Nolito,24,65,175,14,0,0,0,0,0.5,100,0,0,6.17,Spain,Forward
2011/2012,1,Lionel Messi,24,72,170,3268,50,16,6,0,5.5,84.2,0.1,24,8.88,Argentina,Forward
2011/2012,2,Cesc Fabregas,24,77,180,1947,9,8,6,0,1.6,86.9,0.1,2,7.44,Spain,Midfielder
2011/2012,3,Dani Alves,28,70,172,2676,2,11,6,2,1.1,84.5,0.5,1,7.43,Brazil,Defender
2011/2012,4,Andres Iniesta,27,68,171,1867,2,9,3,0,1.8,89.7,0.1,2,7.43,Spain,Midfielder
2011/2012,5,Alexis Sanchez,22,62,169,1681,12,5,4,0,1.8,80.8,0.4,1,7.43,Chile,Forward
2011/2012,6,Javier Mascherano,27,73,174,2738,0,0,4,1,0.1,88.7,0.7,0,7.42,Argentina,Midfielder
2011/2012,7,Xavi,31,68,170,2256,10,7,3,0,1.2,92.4,0,2,7.41,Spain,Midfielder
2011/2012,8,Sergio Busquets,23,76,189,2439,1,1,9,0,0.2,91.6,0.8,0,7.41,Spain,Midfielder
2011/2012,9,Thiago Alcantara,20,70,174,1820,2,3,2,1,0.9,92.7,0.4,1,7.4,Spain,Midfielder
2011/2012,10,Adriano,26,75,172,1733,1,5,3,0,0.8,89.9,0.5,1,7.13,Brazil,Defender
2011/2012,11,Eric Abidal,32,75,186,1765,0,2,0,0,0.2,89.9,1,0,7.07,France,Defender
2011/2012,12,Isaac Cuenca,20,68,179,1076,2,2,1,0,0.9,88.8,0.1,0,7.05,Spain,Forward
2011/2012,13,Carles Puyol,33,80,178,1920,3,0,3,0,0.4,90.7,0.8,0,6.95,Spain,Defender
2011/2012,14,Pinto,35,82,185,270,0,0,0,0,0,82.5,0,0,6.94,Spain,Goalkeeper
2011/2012,15,Martin Montoya,20,73,175,369,0,1,1,0,0.3,89,0.7,0,6.86,Spain,Defender
2011/2012,16,Gerard Pique,24,85,194,1476,2,0,7,1,0.6,86,1,0,6.82,Spain,Defender
2011/2012,17,David Villa,29,69,175,890,5,1,1,0,2.3,77.2,0.1,0,6.81,Spain,Forward
2011/2012,18,Pedro,24,65,169,1640,5,5,4,0,1.4,88.2,0,0,6.78,Spain,Forward
2011/2012,19,Seydou Keita,31,75,183,1336,3,1,4,0,0.5,91.9,0.9,1,6.77,Mali,Midfielder
2011/2012,20,Maxwell,30,73,176,420,0,0,1,0,0.3,88.8,1,0,6.71,Brazil,Defender
2011/2012,21,Jonathan dos Santos,21,74,172,119,0,0,0,0,0.3,91,1,0,6.71,Mexico,Midfielder
2011/2012,22,Victor Valdes,29,78,183,3150,0,0,4,0,0,77.9,0,0,6.65,Spain,Goalkeeper
2011/2012,23,Andreu Fontas,21,91,188,80,0,0,0,0,0,93,1,0,6.55,Spain,Defender
2011/2012,24,Cristian Tello,20,65,178,438,3,0,1,0,1.3,85.6,0,0,6.47,Spain,Forward
2011/2012,25,Sergi Roberto,19,68,178,90,0,0,1,0,1,74.6,2,0,6.43,Spain,Midfielder
2011/2012,26,Marc Bartra,20,70,184,22,0,0,0,0,0,83.3,0,0,6.29,Spain,Defender
2011/2012,27,Ibrahim Afellay,25,76,180,120,0,0,0,0,0.3,94.1,0,0,6.26,Netherlands,Forward
2011/2012,28,Gerard Deulofeu,17,73,177,26,0,0,0,0,0,50,0,0,6.11,Spain,Forward
2011/2012,29,Marc Muniesa,19,72,179,7,0,0,0,0,0,100,0,0,6.01,Spain,Defender
2012/2013,1,Lionel Messi,25,72,170,2644,46,12,1,0,5.1,85.2,0.2,19,8.83,Argentina,Forward
2012/2013,2,Cesc Fabregas,25,77,180,2325,11,11,7,0,1.6,88.6,0.5,2,7.45,Spain,Midfielder
2012/2013,3,Andres Iniesta,28,68,171,2096,3,16,4,0,1.1,90.5,0,3,7.41,Spain,Midfielder
2012/2013,4,Sergio Busquets,24,76,189,2250,1,2,9,0,0,92.2,1.5,1,7.22,Spain,Midfielder
2012/2013,5,Adriano,28,75,172,1444,5,1,3,0,0.7,90.6,1.1,1,7.2,Brazil,Defender
2012/2013,6,Jordi Alba,23,68,170,2500,2,5,3,0,0.2,89.5,0.8,0,7.18,Spain,Defender
2012/2013,7,Xavi,32,68,170,2197,5,8,0,0,1.1,94.8,0.1,0,7.18,Spain,Midfielder
2012/2013,8,Dani Alves,29,70,172,2272,0,6,2,0,0.8,86.1,0.8,2,7.16,Brazil,Defender
2012/2013,9,Pedro,25,65,169,2078,7,6,3,0,1.5,90.1,0.2,1,7.16,Spain,Forward
2012/2013,10,Alexandre Song,25,74,185,1537,1,0,3,0,0.2,92.7,1.7,0,7.14,Cameroon,Midfielder
2012/2013,11,Thiago Alcantara,21,70,174,1416,2,4,4,0,0.6,91.8,0.7,2,7.14,Spain,Midfielder
